35THR N047.53.18.161 E091.40.03.850
BAMUK N051.37.00.001 E100.55.00.001
BARUN N046.40.14.002 E113.17.12.998
BATSU N048.08.07.030 E106.42.20.390
BATUK N047.55.56.521 E106.24.50.789
BAVUT N044.34.41.002 E108.38.02.000
BAYAN N047.16.05.002 E105.15.41.000
BIDUN N046.57.56.002 E100.24.02.999
BIKOT N044.47.04.999 E109.34.18.998
BINDE N048.36.32.000 E110.36.46.001
BUDEN N044.40.08.000 E108.44.35.002
BUGAN N048.54.13.000 E106.37.26.000
BUGAT N049.02.37.000 E090.44.17.002
BULAG N048.51.20.999 E103.28.30.000
BUMAT N043.08.37.000 E106.50.38.000
BUREG N048.36.22.000 E091.40.05.999
BUREN N047.47.12.998 E095.09.19.001
BURIM N048.11.38.000 E114.51.32.000
CD103 N048.12.13.280 E114.23.49.448
CD104 N048.10.29.251 E114.30.10.469
CD12 N043.27.43.240 E111.55.54.919
CD28Y N046.19.19.150 E096.31.03.698
CD28Z N046.19.42.751 E096.28.58.379
CD301 N047.59.16.069 E114.50.55.252
CD302 N048.08.45.499 E114.56.42.461
CD303 N048.04.00.818 E114.53.48.592
CD304 N048.05.43.879 E114.47.33.000
CI14 N048.01.12.270 E106.31.47.212
D077M N046.25.36.329 E096.31.15.308
D093R N046.21.43.009 E096.38.52.199
D120H N043.04.53.069 E107.00.03.960
D128F N043.05.08.650 E106.56.58.042
D130G N047.51.04.601 E091.46.28.819
D155D N047.52.45.091 E091.40.26.288
D225D N047.49.43.298 E106.39.14.069
D312P N048.01.56.809 E106.25.06.791
D332P N048.05.42.000 E106.31.17.339
DADAL N049.00.43.999 E111.30.33.998
DALAM N048.45.02.999 E101.40.09.001
DARNO N050.21.24.001 E098.17.42.000
DAVST N047.50.33.000 E093.54.47.999
DEGIR N045.50.21.998 E111.11.06.000
DELEG N047.34.23.999 E104.45.45.000
DILES N050.12.51.001 E116.12.09.000
DIROT N044.25.00.998 E108.28.14.002
DOLON N047.55.05.801 E106.20.31.222
DONOI N047.42.36.000 E096.31.36.998
DUGAR N045.44.08.999 E106.16.08.000
DULAN N046.39.02.999 E098.06.47.999
EMAND N048.21.47.002 E102.17.12.001
EPKUT N047.40.21.000 E103.21.06.001
ERDEM N049.02.10.000 E095.05.44.002
ERDEN N048.05.16.912 E106.40.22.260
ERKEM N043.44.15.000 E100.20.31.999
ESMEP N043.31.59.999 E112.01.31.001
FD12 N043.27.10.231 E111.58.07.432
FD14 N047.58.13.559 E106.35.45.089
FD28 N046.21.24.559 E096.19.54.980
FI14 N047.58.52.399 E106.34.55.009
FN12 N048.10.51.892 E114.28.42.989
FN14 N047.58.12.410 E106.35.47.062
FN16 N043.14.56.339 E106.46.27.599
FN28 N049.36.15.689 E100.23.26.689
FN29 N043.34.55.960 E104.31.01.081
FN30 N048.05.21.721 E114.48.59.918
FN34 N043.02.42.950 E106.55.37.189
FN34 N047.48.17.849 E091.43.14.452
FOSAT N046.41.51.000 E103.15.15.998
GANGA N048.04.54.001 E111.02.01.000
GEREL N048.03.33.001 E104.58.00.998
GINOM N051.00.00.000 E097.52.00.001
GOBEZ N048.01.27.001 E109.30.16.999
GUMEN N043.57.05.000 E100.39.15.001
HADAN N045.38.26.002 E106.46.54.001
HARUS N048.09.24.998 E092.35.35.002
HASHA N045.51.58.000 E101.35.57.998
HATGA N050.26.25.001 E100.08.03.998
HOBUL N046.06.02.002 E091.35.01.000
HORGO N048.05.34.001 E099.54.06.998
HORIN N047.14.48.001 E102.49.37.999
HOTOL N047.09.37.001 E113.43.32.002
HUJIR N046.55.32.999 E102.46.21.000
HULUG N048.04.00.311 E106.27.57.262
HUTUL N046.53.24.000 E092.27.29.999
IMBAT N046.30.00.000 E095.45.31.000
INTIK N043.40.48.000 E111.54.06.001
KABOZ N047.26.46.000 E109.25.22.001
KATBA N045.21.52.999 E103.07.23.002
KD101 N047.46.21.299 E091.57.04.702
KD102 N047.43.39.731 E091.50.50.039
KD103 N047.47.18.290 E091.43.46.211
KD104 N048.07.10.420 E091.31.26.540
KD105 N048.09.05.512 E091.38.20.108
KD106 N047.58.17.710 E091.48.15.001
KD34M N047.55.36.541 E091.38.38.108
KHOVD N047.57.15.998 E091.37.39.000
LAGON N048.20.35.999 E102.27.46.001
LETBI N050.11.53.999 E103.30.36.000
LIMAR N045.55.19.999 E108.34.08.000
MANLA N044.08.53.999 E106.48.47.999
MARAL N048.05.49.279 E106.25.37.538
MD14 N047.53.28.651 E106.42.07.650
MENOR N046.30.56.002 E113.57.58.000
MIDAS N046.15.20.002 E104.20.57.001
MINOG N049.41.55.000 E094.22.59.999
MN101 N049.35.28.100 E100.36.55.598
